A_reqA,A_reqB,N_robot,reqAonRobot,reqBonRobot,S_door_opening,S_door_closing,S_reqA_driveToDoor,S_reqA_driveFwd,S_reqA_driveBack,S_reqA_driveAround,S_reqB_driveToDoor,S_reqB_driveFwd,S_reqB_driveBack,S_reqB_driveAround,S_robot_driveToDoor,S_robot_driveFwd,S_robot_driveBack,S_robot_driveAround,S_changePolicyToOpen,probA,probB,Z_robot,comm_same_room,R_robot_choosing_mean,R_robot_choosing_low,R_robot_choosing_up,R_robot_reachDoor_A_mean,R_robot_reachDoor_A_low,R_robot_reachDoor_A_up,R_robot_driveThru_A_mean,R_robot_driveThru_A_low,R_robot_driveThru_A_up,R_robot_driveFwd_A_mean,R_robot_driveFwd_A_low,R_robot_driveFwd_A_up,R_robot_driveBack_A_mean,R_robot_driveBack_A_low,R_robot_driveBack_A_up,R_robot_driveAround_A_mean,R_robot_driveAround_A_low,R_robot_driveAround_A_up,R_robot_delivered_mean,R_robot_delivered_low,R_robot_delivered_up,R_robot_reachDoor_R_mean,R_robot_reachDoor_R_low,R_robot_reachDoor_R_up,R_robot_driveThru_R_mean,R_robot_driveThru_R_low,R_robot_driveThru_R_up,R_robot_driveFwd_R_mean,R_robot_driveFwd_R_low,R_robot_driveFwd_R_up,R_robot_driveBack_R_mean,R_robot_driveBack_R_low,R_robot_driveBack_R_up,R_robot_driveAround_R_mean,R_robot_driveAround_R_low,R_robot_driveAround_R_up,X_robot_goFast_A_mean,X_robot_goFast_A_low,X_robot_goFast_A_up,X_robot_goSlow_A_mean,X_robot_goSlow_A_low,X_robot_goSlow_A_up,X_robot_success_A_mean,X_robot_success_A_low,X_robot_success_A_up,X_robot_fail_A_mean,X_robot_fail_A_low,X_robot_fail_A_up,X_robot_goFast_R_mean,X_robot_goFast_R_low,X_robot_goFast_R_up,X_robot_goSlow_R_mean,X_robot_goSlow_R_low,X_robot_goSlow_R_up,X_robot_success_R_mean,X_robot_success_R_low,X_robot_success_R_up,X_robot_fail_R_mean,X_robot_fail_R_low,X_robot_fail_R_up,N_robot_avail_mean,N_robot_avail_low,N_robot_avail_up
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,10,0.1,0.9,10,0.1,0.0,0.0,0.0,9.00422170343653,8.818896836998093,9.189546569874967,0.0014340390029043506,0.0013695532919548426,0.0014985247138538586,8.951916107543342,8.815585977446192,9.088246237640492,8.95399555353059,8.78628393886504,9.121707168196139,27.070579343571023,26.550559316773914,27.590599370368132,0.0,0.0,0.0,1.0020005612628369,0.9789423755505086,1.0250587469751653,0.0012169846960218265,0.0011718695397221013,0.0012620998523215517,0.9977816283299219,0.9790509939920555,1.0165122626677883,1.0024040233485534,0.9841486992227765,1.0206593474743302,3.006736147171907,2.9422552724584867,3.0712170218853276,0.31575131175043053,0.3072516796267896,0.324734580701608,0.00912794643590459,0.008974576344152387,0.00928664967243791,0.31083799615326085,0.3026626152960955,0.3194672972103089,0.0046634425571296335,0.004577429435916872,0.004752750076591135,0.31878679176604574,0.3141014714038417,0.32361400664036605,0.008051586280383754,0.007825354664363921,0.008291288067569742,0.3160646482256099,0.31076495787742836,0.32154823324707976,0.00393542684908,0.0038243507009460757,0.004053148296670666,3.253122576142008,3.182779906740069,3.3234652455439475
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,10,0.1,0.9,10,0.5,0.0,0.0,0.0,9.038630408874408,8.896181566821134,9.18107925092768,0.005542625602038932,0.00529096351270174,0.005794287691376125,8.985602194498163,8.850874740465049,9.120329648531278,9.023472550602682,8.731541713120823,9.31540338808454,26.7367227531788,26.259755661238714,27.213689845118886,0.0,0.0,0.0,0.9981299045704002,0.9808605068652079,1.0153993022755925,0.004766624783286083,0.0045781326841913455,0.004955116882380821,0.9947032587798251,0.9722317934559211,1.0171747241037292,1.0169304363994367,0.9938209210111342,1.0400399517877392,3.0036183266049563,2.9549312178803264,3.052305435329586,0.32155797560227284,0.3162983436593657,0.3269954871925215,0.006087576759208608,0.005864528527722234,0.006328262387603872,0.31822317175303233,0.3132765280645024,0.3233285368955711,0.003493561703108039,0.0034034799698906,0.00358854156089719,0.32212566445973057,0.3180489448470513,0.3263082510342916,0.0052778182009157,0.005127512885185154,0.005437201574019422,0.31911847878972444,0.3140549195673618,0.3243479949629205,0.003057660146828301,0.0029583532838433177,0.003163865710697587,3.280759610954691,3.1843097969462812,3.377209424963101
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,10,0.1,0.9,0.1,1,0.0,0.0,0.0,9.048647090685696,8.887802981311811,9.209491200059581,0.00801290193965275,0.007603682230666873,0.008422121648638628,8.965867812735375,8.780690704925684,9.151044920545067,8.997440006725688,8.532490339319892,9.462389674131483,26.876116701567234,26.30082096728276,27.451412435851708,0.0,0.0,0.0,1.0026055381985195,0.9761647477738576,1.0290463286231815,0.007390308307860975,0.007060680224229937,0.0077199363914920134,1.003273919929605,0.9731848876222954,1.0333629522369145,0.9942380104509708,0.9486260010671639,1.0398500198347778,2.9807533569630844,2.8952674883708744,3.0662392255552944,0.48296264568197267,0.46958563137327536,0.4971241454436914,0.005208792060904538,0.005008008479368418,0.005426347916453738,0.48228388989898485,0.4732901009141534,0.4916261125811142,0.0038251722203875792,0.00366168765510498,0.004003937318217531,0.4890176560754584,0.4781436373308698,0.5003977821249276,0.005442769425785834,0.005167114465241894,0.005749493091774233,0.48517377953117874,0.4711565000537382,0.5000506838892015,0.003442848462200527,0.0032811311972708325,0.003621333283051673,0.04942385831460687,0.04816633484892169,0.05068138178029205
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,10,0.1,0.9,1,0.1,0.0,0.0,0.0,9.024661419432917,8.759986406517928,9.289336432347906,0.0014246384938552009,0.001374751853708205,0.0014745251340021967,8.970436486226935,8.811957380983994,9.128915591469877,8.997209221389802,8.795319658461707,9.199098784317897,26.972450888907005,26.514680958650718,27.430220819163292,0.0,0.0,0.0,1.0008248002636841,0.9833157220577168,1.0183338784696514,0.0012039554585892985,0.001155601603710275,0.001252309313468322,0.9958012406286348,0.9770295374858434,1.0145729437714264,0.9961062281935117,0.974883589709597,1.0173288666774263,2.993570052713533,2.936659511145532,3.0504805942815345,0.4534660602200267,0.44717928559863074,0.45993212359846075,0.011501115327127425,0.011267009913114806,0.011745155630882718,0.446246910275585,0.43929206445872343,0.4534255160568941,0.006472784756695957,0.0063436146485172425,0.006607324585929738,0.45445552370736286,0.4473932160103429,0.4617443709866186,0.01133508619623979,0.011057846242809302,0.011626585457489331,0.4485077189374651,0.4416036414319003,0.455631103247814,0.005330668296147722,0.005118657921326775,0.005561000100664073,0.4629431181337129,0.4498272609301117,0.4760589753373141
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,60,0.1,0.9,0.1,1,0.0,0.0,0.0,8.989764232642012,8.819495589417034,9.160032875866989,0.007987447584808693,0.007647685771510321,0.008327209398107063,8.940494785368845,8.748299918530176,9.132689652207514,9.080488312795342,8.79521413971704,9.365762485873645,26.75301233844872,26.08487438164251,27.42115029525493,0.0,0.0,0.0,0.9956681405579895,0.9771814925589516,1.0141547885570275,0.007054561423926411,0.00675820976926095,0.007350913078591872,1.003554868802244,0.9880588181083434,1.0190509194961446,0.9869620846911701,0.9502933098569082,1.023630859525432,3.0098829388979524,2.9335681343742954,3.0861977434216095,0.47390220283926365,0.4608745391617116,0.4876878042414539,0.009109448367151326,0.008726810003113917,0.009527179997235076,0.4749956777710847,0.46593237406218013,0.48441857454264214,0.0037875566748127613,0.0036574901061649633,0.0039272151238230295,0.4778659946690581,0.4685507455479108,0.4875591495351412,0.009193007104653053,0.008758690428480438,0.009672643940831538,0.4737911926511716,0.46745940078777737,0.4802968695191738,0.003348856663531656,0.0031987321358577774,0.0035137665468208683,0.0490596932248008,0.04813366938490762,0.04998571706469398
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,10,0.1,0.9,1,0.5,0.0,0.0,0.0,9.040347502497806,8.844650381564994,9.236044623430617,0.0052553886933019486,0.0050213384638872465,0.005489438922716651,8.945880132619017,8.73232382249268,9.159436442745355,9.135469994269622,8.855996209116217,9.414943779423027,26.798997780696517,26.332869403646676,27.26512615774636,0.0,0.0,0.0,0.993736370028447,0.9718636798901448,1.0156090601667491,0.004622881168994706,0.004437051391762416,0.004808710946226996,0.9995848694102776,0.9718718030812309,1.0272979357393242,1.0024431190701952,0.9635885305629447,1.0412977075774457,3.027807281836966,2.9787972138218737,3.076817349852058,0.45992974418280536,0.452277613009388,0.4678452660699236,0.0075629710308839195,0.007281714017122314,0.007866828142825437,0.4557041955808291,0.44740436980426956,0.4643177831203136,0.004942762723015853,0.004780748228606715,0.005116143404743519,0.4599982390383565,0.4523292765804114,0.46793173144562905,0.0076281610031567575,0.007412046332983751,0.007857256772331957,0.45634436962929187,0.44852525802844023,0.4644409382464441,0.004241998330142765,0.0041119709823382675,0.004380517566697492,0.4659713780152886,0.45430194390162054,0.47764081212895665
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,60,0.1,0.9,0.1,0.5,0.0,0.0,0.0,8.96634021467361,8.832818529612387,9.099861899734831,0.005277814290645748,0.005045595162119079,0.005510033419172417,9.022303385348511,8.860984694282457,9.183622076414565,8.9906983705139,8.61084899270611,9.370547748321691,26.834194191508832,26.329515787104143,27.33887259591352,0.0,0.0,0.0,1.0018135302515563,0.9801765745491977,1.0234504859539149,0.004661146792032017,0.004464584852818878,0.004857708731245156,0.9936506333905377,0.9730264132753209,1.0142748535057544,0.9982496855931643,0.9664789797575822,1.0300203914287462,3.0234748561314877,2.9612477783391498,3.0857019339238256,0.4697551286540117,0.4605998525127147,0.479281741989775,0.014192371265404105,0.013487014303307449,0.014975578608041646,0.4650013653206297,0.4576405494297771,0.4726028387696326,0.005028142133759647,0.004862275805089487,0.0052057244932080665,0.4700496012842897,0.4612807723697201,0.47915827696597835,0.014064376757510589,0.013395874724016803,0.014803104591670696,0.466006151053532,0.45850331746198436,0.47375861857637547,0.004318989466663753,0.004197341998445289,0.004447898571599206,0.0487882909254473,0.047527841038895,0.0500487408119996
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,10,0.1,0.9,10,1,0.0,0.0,0.0,8.99349288133036,8.808814686293925,9.178171076366795,0.00802222553898763,0.007693709039354091,0.008350742038621168,8.976866923744444,8.817418085984444,9.136315761504443,9.025832706857058,8.684181287446135,9.36748412626798,27.07261195365061,26.497602887739657,27.647621019561566,0.0,0.0,0.0,1.0021973118932894,0.9829923567202131,1.0214022670663656,0.0070088852889590575,0.006720290249935795,0.00729748032798232,1.0129652285844783,0.9911956321687416,1.034734825000215,1.0089716104436326,0.9652289902822259,1.0527142306050394,3.026639485962539,2.975885228728261,3.077393743196817,0.3247524031593299,0.3157410867707467,0.3342932007453461,0.004196691927620067,0.004080662948247559,0.004319512315309164,0.32275612547891996,0.31787306722402175,0.32779154807285416,0.0026650514104834674,0.0025829176549847757,0.002752580237338549,0.32618297945251284,0.32166495663612266,0.33082972828194424,0.0036637977974930992,0.0034758597014199976,0.0038732210335392122,0.3235219246263599,0.3141945729606076,0.3334200132098241,0.0023474184009606457,0.0022300987075355785,0.002477767294669725,3.305994395687507,3.2360966677913336,3.37589212358368
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,10,0.1,0.9,0.1,0.5,0.0,0.0,0.0,8.982643479058908,8.817593961067704,9.147692997050111,0.0053059869047950734,0.00512651276274892,0.005485461046841227,9.020706146570864,8.794105771231255,9.247306521910474,9.073406510199522,8.822029452669126,9.324783567729918,26.91592315166904,26.30774786221135,27.524098441126732,0.0,0.0,0.0,0.9931319229393741,0.9696188772707582,1.0166449686079901,0.004462001660629244,0.0042525217803025634,0.004671481540955925,0.9933090123651661,0.9760054705042687,1.0106125542260636,1.0005532076288892,0.9734580383958298,1.0276483768619487,2.9768184280704295,2.907513608871975,3.046123247268884,0.47691383084780103,0.4695365261131593,0.4845266588507459,0.007617697125872743,0.007460107990951777,0.007782087841435883,0.4717922333552102,0.4640624351001041,0.4797839010285448,0.005054165286736707,0.004959026336898997,0.005153026123639606,0.4781049608733562,0.4703967205434516,0.4860700347814651,0.007763443636848578,0.007548254205635179,0.007991262573659001,0.47223282675779854,0.4653648059373271,0.4793066056621719,0.00436814139232971,0.004218914945889904,0.004528311444070049,0.04801775872954309,0.04667571305339367,0.049359804405692514
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,60,0.1,0.9,0.1,0.1,0.0,0.0,0.0,9.026386131421237,8.905497153604106,9.147275109238368,0.0014453894920251759,0.001385277542686834,0.0015055014413635178,8.964459435630713,8.793935231073165,9.134983640188262,9.021055188697522,8.597201823726785,9.44490855366826,26.732036628456477,26.304620973363708,27.159452283549246,0.0,0.0,0.0,1.005416258218272,0.9842829457853276,1.0265495706512164,0.0011456215090976684,0.001097242696391422,0.0011940003218039149,0.9914999417240554,0.9624674707154439,1.020532412732667,0.9932225153603417,0.9608812955273678,1.0255637351933156,2.969103675877946,2.8800422634133316,3.0581650883425606,0.44817685880619573,0.4381093477105844,0.45871794407605965,0.022412763829557075,0.021372327847490134,0.023559683462033403,0.44372664235992143,0.43329250280082593,0.45467571210748026,0.006532088912919575,0.006402806809436898,0.006666699396559914,0.45105751231706165,0.44068964218330114,0.46192497479354067,0.022343631932540322,0.02137550670020447,0.02340361279730614,0.44267844663984773,0.43184498989747105,0.45406943578096615,0.005316936805789027,0.005106183025440953,0.005545836964608623,0.04738622926301608,0.046369856037450335,0.04840260248858183
